Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Bekwai Municipal,Ahmadiyaa Mission Hospital,Hospital,Kokofu,Private,6.509860,-1.536490
Ashanti,Bekwai Municipal,Ahwene Memorial Hospital,Hospital,Bekwai,Private,6.454910,-1.570710
Ashanti,Adansi South,Aim High Clinic,Clinic,Subin Camp,Private,5.967170,-1.449930
Ashanti,Sekyere East,Akokuaso Health Centre,Health Centre,Akokuaso,Government,6.853550,-1.335830
Ashanti,Bekwai Municipal,Akomaa Memorial Hospital,Hospital,Kortwia,CHAG,6.439660,-1.538370
Ashanti,Offinso North,Akomadan Health Centre,Health Centre,Akomadan zongo,Government,7.405810,-1.960720
Ashanti,Adansi North,Akrofrom Clinic,Clinic,New Akrofrom,Private,6.153480,-1.476210
Ashanti,Amansie Central,Akrofrom Community Clinic,Clinic,Akrofrom,Government,6.396510,-1.607830
Ashanti,Adansi South,Akrofrom Health Centre,Health Centre,Akrofrom,Government,6.123850,-1.653870
Ashanti,Adansi North,Akrokerri Health Centre,Health Centre,Akrokerri,Government,6.295130,-1.632240
Ashanti,Atwima-Nwabiagya,Akropong Health Centre,Health Centre,Akropong,Government,7.000000,-2.000000
Ashanti,Atwima-Nwabiagya,Akropong Maternity Home,Maternity Home,Akropong,Private,7.000000,-2.000000
Ashanti,Adansi South,Akutreso Health Centre,Health Centre,Akutreso,Government,6.096190,-1.292920
Ashanti,Ahafo-Ano North,Akwasiase Dressing Station,Clinic,Akwasiase,Quasi-Government,6.994980,-2.198870
Ashanti,Ahafo-Ano North,Alice Memorial Maternity Clinic,Maternity Home,Tepa,Private,6.999610,-2.171340
Ashanti,Obuasi Municipal,All Souls Clinic,Clinic,Akaporiso,Private,6.198520,-1.628810
Ashanti,Adansi South,Allen Health Clinic,Clinic,Wamasi,Government,6.086910,-1.695530
Ashanti,Obuasi Municipal,Amansan Clinic,Clinic,Aboagye Krom,Private,6.191280,-1.650440
Ashanti,Asante-Akim North Municipal,Amantenaman Health Centre,Health Centre,Nyinamponase,Government,6.770050,-1.162540
Ashanti,Ejisu-Juaben Municipal,Amponsah Konadu Memorial Maternity Home,Maternity Home,Bonwire,Private,6.792620,-1.471870
Ashanti,Adansi South,Ampunyasi Health Centre,Health Centre,Ampunyasi,Government,6.055190,-1.736770
Ashanti,Ahafo-Ano North,Anane Aya Maternity Home,Maternity Home,Akwasiase,Private,6.995420,-2.199930
Ashanti,Asante-Akim North Municipal,Ananekrom Health Centre,Health Centre,Ananekrom,Government,6.915270,-1.015330
Ashanti,Bosomtwe,Anglican (Mobile) Eye Clinic,Clinic,Jachie,CHAG,6.566150,-1.520660
Ashanti,Bosomtwe,Atonso/Agogo Fejiase clinic,Clinic,Feyiase,Private,6.612680,-1.559990
Ashanti,Bosomtwe,Brodekwanu Methodis Clinic,Clinic,Brodekwanu,CHAG,6.535460,-1.353650
Ashanti,Bosomtwe,CAMFAP Maternity Clinic,Clinic,New Kokobiriko (Abijan-Nkwant,Private,6.579330,-1.544040
Ashanti,Bosomtwe,Jachie Health Centre,Health Centre,Jachie,Government,6.565980,-1.520970
Ashanti,Bosomtwe,Kuntenase Government Hospital,District Hospital,Kuntenase,Government,6.537520,-1.474540
Ashanti,Bosomtwe,Lake Bosomtwi Methodist Clinic,Clinic,Amakom,CHAG,6.483980,-1.373620
Ashanti,Bosomtwe,Nyameani Methodist Clinic,Clinic,Nyameani,CHAG,6.564580,-1.430220
Ashanti,Bosomtwe,Piase CHPS,CHPS,Piase,Government,6.590990,-1.451510
Ashanti,Bosomtwe,SDA Clinic Konkoma,Clinic,Konkoma,CHAG,6.512910,-1.348490
Ashanti,Bosomtwe,Sophia Maternity Home,Maternity Home,Esereso,Private,6.631590,-1.561470
Ashanti,Bosomtwe,St. Marys Anglican Clinic,Clinic,Apinkra,CHAG,6.540560,-1.543460
Ashanti,Bosomtwe,St. Micheal Hospital,Hospital,Pramso,CHAG,6.558720,-1.512470
Ashanti,Bosomtwe,Tetrefu Health Centre,Health Centre,Tetrefu,Government,6.624870,-1.534680
Ashanti,Bosomtwe,God's Grace Maternity Home,Maternity Home,Aputuagya,Private,6.5016785,-1.4144827
Ashanti,Obuasi Municipal,Anyinam Clinic,Clinic,Obuasi-Anyinam,Government,6.198970,-1.682050
Ashanti,Ahafo-Ano North,Anyinasuso Health Centre,Health Centre,Anyinasuso,Government,6.959130,-2.100370
Ashanti,Ahafo-Ano North,Anyinasuso Maternity Home,Maternity Home,Anyinasuso,Private,6.958710,-2.100150
Ashanti,Offinso North,Anyinasusu SDA Centre,Clinic,Anyinasusu,CHAG,7.014840,-1.708740
Ashanti,Sekyere Afram Plains,Anyinofi Health Centre,Health Centre,Anyinofi,Government,7.425280,-0.770450
Ashanti,Mampong Municipal,Apaa Maternity Home,Maternity Home,Apaa,Private,6.955110,-1.434650
Ashanti,Ejisu-Juaben Municipal,Apromase Health Centre,Health Centre,Apromase,Government,6.670850,-1.495430
Ashanti,Mampong Municipal,Asaam Health Clinic,Health Centre,Asaam,Government,7.117320,-1.465980
Ashanti,Obuasi Municipal,Asempa   Maternity and Clinic,Clinic,Gausu,Private,6.199240,-1.682330
Ashanti,Atwima-Kwanwoma,Ahenema kokoben Health Centre,Health Centre,Ahenema kokoben,Government,6.625970,-1.649780
Ashanti,Atwima-Kwanwoma,Bebu Methodist Clinic,Clinic,Bebu,CHAG,6.611540,-1.685050
Ashanti,Atwima-Kwanwoma,Eye Adom Maternity Home,Maternity Home,Brofoyeduru,Private,6.614580,-1.658570
Ashanti,Atwima-Kwanwoma,Foase Health Centre,Health Centre,Foase,Government,6.637510,-1.751240
Ashanti,Atwima-Kwanwoma,Kwanwoma Health Centre,Health Centre,Kwanwoma,Government,6.628650,-1.635240
Ashanti,Atwima-Kwanwoma,Trabuom Health Centre,Health Centre,Trabuom,Government,6.611420,-1.762520
Ashanti,Atwima-Kwanwoma,Trede Health Centre,Health Centre,Trede,Government,6.578030,-1.668590
Ashanti,Atwima-Kwanwoma,Nweneso III Health Centre,Health Centre,Nweneso III,Private,6.5972124,-1.578999399
Ashanti,Bosome Freho,Asiwa Health Centre,Health Centre,Asiwa,Government,6.423440,-1.334340
Ashanti,Adansi North,Asokwa Health Centre,Health Centre,Asokwa,Government,6.280680,-1.507860
Ashanti,Amansie West,Essuowin Health Centre,Health Centre,Assuowin,Government,6.536560,-1.865020
Ashanti,Sekyere Central,Asubuasu Health Centre,Health Centre,Asubuasu,Government,7.316240,-1.235290
Ashanti,Atwima-Nwabiagya,Asuofua Health Centre,Health Centre,Asuofia,Government,7.000000,-2.000000
Ashanti,Adansi South,Ataasi Health Centre,Health Centre,Ataasi Nkwanta,Government,5.966640,-1.364540
Ashanti,Sekyere Central,Atonsu Health Centre,Health Centre,Atonsu,Government,7.023720,-1.309120
Ashanti,Adansi South,Atwereboana Clinic,Clinic,Atwereboana,Government,5.962350,-1.342130
Ashanti,Atwima-Nwabiagya,Atwima Clinic,Clinic,Atwima,Government,7.000000,-2.000000
Ashanti,Obuasi Municipal,Avril Clinic,Clinic,Akaporiso,Private,6.198020,-1.629530
Ashanti,Ejura Sekyeredumasi,Babaso MCH,Clinic,Babaso,Government,7.340650,-1.324170
Ashanti,Asante-Akim South,Banka Health Centre,Health Centre,Banka,Government,6.298240,-1.216150
Ashanti,Sekyere Afram Plains,Banko Health Centre,Health Centre,Banko,Government,6.758220,-1.284730
Ashanti,Asante-Akim South,Banso SDA Clinic,Clinic,Banso,Government,6.475840,-1.196740
Ashanti,Atwima-Nwabiagya,Barekese Health Centre,Health Centre,Barekese,Government,7.000000,-2.000000
Ashanti,Atwima-Mponua,Barniekrom maternity home,Maternity Home,Barniekrom,Government,6.541990,-2.174730
Ashanti,Asante-Akim North Municipal,Bebome Health Centre,Health Centre,Bebome,Government,6.867250,-1.095660
Ashanti,Atwima-Kwanwoma,Bebu Methodist Clinic,Clinic,Bebu,CHAG,6.611540,-1.685050
Ashanti,Bekwai Municipal,Bekwai Government Hospital,District Hospital,Bekwai,Government,6.456050,-1.578570
Ashanti,Mampong Municipal,Benim Health Centre,Health Centre,Benim,Government,7.090540,-1.464590
Ashanti,Sekyere Central,Beposo Health Centre,Centre,Beposo,Government,6.985260,-1.355030
Ashanti,Atwima-Mponua,Bethel Maternity Home,Maternity Home,Enyinamoso,Private,6.646920,-1.903270
Ashanti,Ahafo-Ano North,Betiako Health Centre,Health Centre,Betiako,Government,6.866380,-2.206850
Ashanti,Atwima-Mponua,Beyerebon No.5 Health Centre,Health Centre,Bayerebon,Government,6.392110,-2.181340
Ashanti,Mampong Municipal,Birem Health Centre,Health Centre,Birem,Government,7.227320,-0.991970
Ashanti,Afigya-Kwabre,Boamang Health Centre,Health Centre,Boamang,Government,6.940730,-1.617050
Ashanti,Sekyere South,Boanim Health Centre,Health Centre,Boanim,Government,7.034820,-1.487410
Ashanti,Adansi North,Bodwesango St Louis Health Centre,Health Centre,Bodwesango,CHAG,6.222490,-1.310310
Ashanti,Ejisu-Juaben Municipal,Bomfa Health Centre,Health Centre,Bomfa,Government,6.596350,-1.299330
Ashanti,Asante-Akim South,Bompata Health Centre,Health Centre,Bompata,Government,6.667270,-1.083930
Ashanti,Offinso Municipal,Bonsua Health Centre,Health Centre,Bonsua,Government,6.934850,-1.676150
Ashanti,Ejisu-Juaben Municipal,Bonwire Clinic,Clinic,Bonwire,Private,6.471600,-1.284600
Ashanti,Obuasi Municipal,Brahabebome Clinic,Clinic,Brahabebome New Site,Private,6.194440,-1.630140
Ashanti,Obuasi Municipal,Bryant  Mission Hospital,Hospital,Boete,Private,6.113100,-1.384400
Ashanti,Obuasi Municipal,Cecilia Maternity  Home,Maternity Home,Kwabrafoso,Private,6.198860,-1.655740
Ashanti,Obuasi Municipal,Central Market Clinic,Clinic,Estate Extension,Private,6.205910,-1.670310
Ashanti,Kwabre,Christ Our Hope Maternity Home,Maternity Home,Ntonso,Private,6.754860,-1.527440
Ashanti,Amansie West,Christ Our Saviour Clinic,Clinic,Manso Moseaso,CHAG,6.511420,-1.852170
Ashanti,Ejisu-Juaben Municipal,Church of Christ Mission Clinic,Clinic,Adadientam,CHAG,6.713940,-1.428270
Ashanti,Ejisu-Juaben Municipal,Church of God Clinic,Clinic,Essienimpong,CHAG,6.660530,-1.449790
Ashanti,Atwima-Mponua,Community Health Centre,Clinic,Mpasatia,CHAG,6.668480,-1.840160
Ashanti,Sekyere Central,Cross Medical Centre,Clinic,Nsuta,Private,7.008290,-1.375950
Ashanti,Asante-Akim North Municipal,Daasebre Maternity Home,Maternity Home,Ahenebronuum,Private,6.627760,-1.213140
Ashanti,Sekyere Afram Plains,Dadiase Health Centre,Health Centre,Dadiase,Government,6.880780,-1.367760
Ashanti,Ejisu-Juaben Municipal,Dakopon Hospital,Hospital,Kwamo,Private,6.720860,-1.493220
Ashanti,Amansie West,Datano Health Post,Clinic,Datano,CHAG,6.293980,-1.970980
Ashanti,Bosome Freho,Detieso Community Clinic,Clinic,Detieso,Government,6.476740,-1.441680
Ashanti,Sekyere South,Domeabra Health Centre,Health Centre,Domeabra,Government,6.938640,-1.557570
Ashanti,Adansi North,Dompoase Benito Menni Health Centre,Health Centre,Dompoase,CHAG,6.322820,-1.544680
Ashanti,Amansie West,Dora Maternity Clinic,Maternity Home,Pakyi  No 2,Private,6.480400,-1.495100
Ashanti,Offinso North,Dorcas Memorial Clinic,Clinic,Akomadan,CHAG,7.396940,-1.952970
Ashanti,Bosome Freho,Duasi Community Clinic,Clinic,Duasi,Government,6.468630,-1.395220
Ashanti,Asante-Akim North Municipal,Dwease Health Centre,Health Centre,Dwease,Government,6.537470,-1.244070
Ashanti,Asante-Akim South,Dwendwenase Health Centre,Health Centre,Dwendwenase,Government,6.412230,-1.199340
Ashanti,Atwima-Mponua,Ebenezer Methodist Clinic,Clinic,Mpasatia,CHAG,6.658650,-1.843060
Ashanti,Adansi South,Edwafo Health Centre,Health Centre,Edwafo,Government,6.196750,-1.573670
Ashanti,Sekyere East,Effiduase District Hospital,District Hospital,Effiduase,Government,6.847390,-1.393730
Ashanti,Sekyere East,Effiduase Trust Maternity Home,Maternity Home,Effiduase,Private,6.848210,-1.394120
Ashanti,Ejisu-Juaben Municipal,Ejisu Health Centre,Health Centre,Ejisu,Government,6.721030,-1.470280
Ashanti,Ejura Sekyeredumasi,Ejura District Hospital,District Hospital,Ejura,Government,7.389060,-1.351970
Ashanti,Ejura Sekyeredumasi,Ejura MCH,Clinic,Ejura,Government,7.365560,-1.343580
Ashanti,Afigya-Kwabre,Ejuratia Health Centre,Health Centre,Ejuratia,Government,6.822870,-1.522270
Ashanti,Obuasi Municipal,Emmanuel  Maternity  Home,Maternity Home,Boete,Private,6.192350,-1.644750
Ashanti,Ejura Sekyeredumasi,Enso Nyameye Maternity Home,Maternity Home,Kontokori Line,Private,7.378940,-1.357960
Ashanti,Ahafo-Ano South,Essienkyem Health Centre,Health Centre,Essienkyem,Government,6.975840,-1.847840
Ashanti,Atwima-Nwabiagya,Everest Hospital,Hospital,Achiase,Private,7.000000,-2.000000
Ashanti,Atwima-Kwanwoma,Eye Adom Maternity Home,Maternity Home,Brofoyeduru,Private,6.614580,-1.658570
Ashanti,Afigya-Kwabre,Family Care Hospital,Hospital,Mowre,Private,6.816140,-1.476750
Ashanti,Kwabre,Fawade Nkanta Clinic,Clinic,Fawade,Private,6.810470,-1.638660
Ashanti,Atwima-Kwanwoma,Foase Health Centre,Health Centre,Foase,Government,6.637510,-1.751240
Ashanti,Adansi North,Fomena Health Centre,Health Centre,Fomena,Government,6.280220,-1.510020
Ashanti,Adansi North,Fumso Health Centre,Health Centre,Fumso,Government,6.110480,-1.448540
Ashanti,Adansi North,Fumso-Ketewa Health Centre,Health Centre,Fumso Ketewa,Government,6.296750,-1.631030
Ashanti,Afigya-Kwabre,Gladys Maternity Home,Maternity Home,Kodie,Private,6.788750,-1.561090
Ashanti,Ejisu-Juaben Municipal,Global Evangelical Mission Hospital,Hospital,Apromase,CHAG,6.669030,-1.492980
Ashanti,Atwima-Nwabiagya,God is Able Maternity Home,Maternity Home,Sepase,Private,7.000000,-2.000000
Ashanti,Ejisu-Juaben Municipal,Grace Maternity Home and Clinic,Maternity Home,Akyawkrom,Private,6.732570,-1.461460
Ashanti,Bosome Freho,Gyasikrom Health Centre,Clinic,Gyasikrom,Government,6.401450,-1.473130
Ashanti,Atwima-Mponua,Gyreso RCH,RCH,Gyeresu,Government,6.470060,-2.416730
Ashanti,Ejura Sekyeredumasi,Homako Community Clinic,Clinic,Homako,Government,7.429150,-1.451060
Ashanti,Ejisu-Juaben Municipal,Humble Maternity Home,Maternity Home,Kokobra,Private,6.714790,-1.522250
Ashanti,Ejisu-Juaben Municipal,Huttel Health Centre,Health Centre,Boamadumase,Private,6.615820,-1.340070
Ashanti,Adansi South,Hwidiem Community Clinic,Clinic,Hwidiem,Government,5.894320,-1.467660
Ashanti,Obuasi Municipal,Ideal Homoepatic Clinic,Clinic,Obuasi - Stadium,Private,6.205640,-1.684250
Ashanti,Sekyere Central,Isaaka Akura Health Centre,Health Centre,Isaaka Akura-Afram  Plains,Private,7.415420,-1.137830
Ashanti,Afigya-Kwabre,Jalua  Maternity Home,Maternity Home,Nkukua Buoho,Private,6.814620,-1.648770
Ashanti,Sekyere South,Jamasi Health Centre,Health Centre,Jamasi,Government,6.977530,-1.472550
Ashanti,Sekyere Central,Jeduako Clinic,Clinic,Jeduako,Government,7.095010,-1.209170
Ashanti,Obuasi Municipal,Jemina Maternity Home,Maternity Home,Obuasi Central,Private,6.203130,-1.668160
Ashanti,Ejisu-Juaben Municipal,Jesus Is Lord Maternity Home,Maternity Home,Tikrom,Private,6.738650,-1.510920
Ashanti,Kwabre,Joy Maternity Home,Maternity Home,Mamponteng,Private,6.799620,-1.645430
Ashanti,Ejisu-Juaben Municipal,Juaben Government Hospital,District Hospital,Juaben,Government,6.816020,-1.413920
Ashanti,Asante-Akim North Municipal,Juansa Health Centre,Health Centre,Juansa,Government,6.723360,-1.127340
Ashanti,Asante-Akim South,Juaso District Hospital,District Hospital,Juaso,Government,6.592230,-1.121130
Ashanti,Amansie West,Keniago CHPS,CHPS,Keniago,Government,6.373440,-2.017640
Ashanti,Kwabre,Kenyasi Health Centre,Health Centre,Kenyasi,Government,6.785070,-1.566550
Ashanti,Obuasi Municipal,KofiKrom Clinic,Clinic,Kofi Krom,Private,6.196240,-1.680430
Ashanti,Mampong Municipal,Kofiase Health Centre,Health Centre,Kofiase,Government,7.141130,-1.483630
Ashanti,Bekwai Municipal,Kokofu General Hospital,Hospital,Kokofu,Government,6.499030,-1.522540
Ashanti,Sekyere South,Kona Health Centre,Health Centre,Kona,Government,6.867760,-1.512310
Ashanti,Asante-Akim North Municipal,Konongo-Odumasi Government Hospital,District Hospital,Konongo,Government,6.624360,-1.217920
Ashanti,Mampong Municipal,Krobo Health Centre,Health Centre,Krobo,Government,7.074570,-1.423520
Ashanti,Sekyere Afram Plains,Kumawu Health Centre,Health Centre,Kumawu,Government,6.907080,-1.268030
Ashanti,Asante-Akim South,Komeso Health Centre,Health Centre,Kumeso,Government,6.461540,-1.069010
Ashanti,Afigya-Kwabre,Kwamang Health Centre,Health Centre,Kwamang,Government,6.896640,-1.624570
Ashanti,Sekyere Central,Kwamang Health Centre,Health Centre,Kwamang,Government,6.981880,-1.269610
Ashanti,Atwima-Kwanwoma,Kwanwoma Health Centre,Health Centre,Kwanwoma,Government,6.628650,-1.635240
Ashanti,Ejisu-Juaben Municipal,Kwaso Health Centre,Health Centre,Kwaso,Government,6.627710,-1.447220
Ashanti,Afigya-Kwabre,Kyekyewere Health Centre,Health Centre,Kyekyewere,Government,7.145380,-1.639440
Ashanti,Asante-Akim North Municipal,Life Land Clinic,Clinic,Abosomtweagya,Private,6.620670,-1.203730
Ashanti,Atwima-Nwabiagya,Maakro Clinic,Clinic,Maakro,Private,7.000000,-2.000000
Ashanti,Ahafo-Ano North,Matang Clinic,Clinic,Matang,Private,6.996150,-2.216510
Ashanti,Ejisu-Juaben Municipal,Madoma Maternity Clinic,Clinic,Besease,CHAG,6.720930,-1.450150
Ashanti,Ejisu-Juaben Municipal,Mama Tina Maternity Home,Maternity Home,Kwamo,Private,6.715240,-1.505090
Ashanti,Mampong Municipal,Mampong District Hospital,District Hospital,Mampong,Government,7.045630,-1.402190
Ashanti,Mampong Municipal,Mampong Quality Hospital,Hospital,Mampong,Private,7.046210,-1.401950
Ashanti,Kwabre,Mamponteng Health Centre,Health Centre,Mamponteng,Government,6.832950,-1.476950
Ashanti,Ahafo-Ano North,Manfo Health Centre,Health Centre,Manfo,Government,6.945310,-2.230440
Ashanti,Ahafo-Ano South,Mankranso Hospital,Hospital,Mankranso,Government,6.820760,-1.862780
Ashanti,Amansie West,Manso Abore Health Centre,Health Centre,Manso Abore,Government,6.446270,-1.977640
Ashanti,Amansie West,Manso Edubia Health Centre,Health Centre,Manso-Adubia,Government,6.402560,-1.929570
Ashanti,Amansie West,Manso Nkwanta Maternity Home,Maternity Home,Manso Nkwanta,Private,6.476820,-1.879160
Ashanti,Amansie West,Manso Tontokrom Health Centre,Health Centre,Tontokrom,Government,6.249290,-1.994830
Ashanti,Adansi South,Mansonso Health Centre,Health Centre,Mansonso,Government,6.045470,-1.589550
Ashanti,Amansie Central,Marben Maternity,Maternity Home,Jacobu,Private,6.352410,-1.677990
Ashanti,Kwabre,Meduma Clinic,Clinic,Medoma,Private,6.790890,-1.560910
Ashanti,Ejisu-Juaben Municipal,Memorial Maternity Home,Maternity Home,Okyerekrom,Private,6.721220,-1.525890
Ashanti,Afigya-Kwabre,Methodist Faith Healing Hospital,District Hospital,Ankaase,CHAG,6.848190,-1.549340
Ashanti,Amansie Central,Mile 14 Community Clinic,Clinic,Mile 14,Government,6.221260,-1.821390
Ashanti,Asante-Akim South,Morso Clinic,Clinic,Morso,Government,6.655180,-1.106810
Ashanti,Amansie West,Mother of God Clinic,Clinic,Esaase,CHAG,6.559420,-1.890460
Ashanti,Ahafo-Ano South,Mpasaso Health Centre,Health Centre,Mpasaso,Government,6.802740,-2.138640
Ashanti,Amansie West,Mpatuom RCH,RCH,Mpatuom,Government,6.540880,-1.932150
Ashanti,Afigya-Kwabre,Mpobi RCH,RCH,Mpobi,Government,6.847750,-1.561650
Ashanti,Asante-Akim South,Muranaim Health Centre,Health Centre,Muronam,Government,6.247030,-1.205660
Ashanti,Mampong Municipal,Nadaworoma Clinic,Clinic,Mampong New Town,Private,7.065980,-1.402130
Ashanti,Atwima-Nwabiagya,Nana Frema Maternity Home,Maternity Home,Adankwame,Private,7.000000,-2.000000
Ashanti,Bekwai Municipal,Nancy Powel's Clinic,Clinic,Tebeso #2,CHAG,6.317880,-1.308040
Ashanti,Obuasi Municipal,Neighbourhood    Clinic,Clinic,Abompe    New  Site,Private,6.218890,-1.671170
Ashanti,Adansi North,New Ayaasi Adom Maternity Home,Health Centre,New Ayaasi,Private,6.296410,-1.523380
Ashanti,Adansi South,New Edubiase Hospital,District Hospital,New Edubiase,Government,6.054560,-1.392810
Ashanti,Bekwai Municipal,New Life Clinic,Clinic,Apau,CHAG,6.472840,-1.436770
Ashanti,Amansie West,Nipankyeremia CHPS,CHPS,Nipankyeremia,Government,6.370020,-2.158270
Ashanti,Atwima-Nwabiagya,Nkawie/Toase Hospital,Hospital,Nkawie,Government,7.000000,-2.000000
Ashanti,Offinso North,Nkenkasu District Hospital,District Hospital,Nkenkasu,Government,7.319570,-1.902890
Ashanti,Ejura Sekyeredumasi,Nkwanta Community Clinic,Clinic,Ejura Nkwanta,Government,7.513780,-1.347250
Ashanti,Asante-Akim South,Nnadieso Health Centre,Health Centre,Nnadieso,Government,6.599560,-1.092061
Ashanti,Ejisu-Juaben Municipal,Nobewam SDA Clinic,Clinic,Nobewam,CHAG,6.622890,-1.239850
Ashanti,Sekyere Central,Nsutaman Health Centre,Health Centre,Nsuta,Government,7.008610,-1.381460
Ashanti,Atwima-Mponua,Ntobroso Health Centre,Health Centre,Ntobroso,Government,6.535710,-2.042450
Ashanti,Amansie Central,Numereso Health Centre,Health Centre,Numereso,Government,6.075680,-1.854590
Ashanti,Asante-Akim North Municipal,Nutrition Rehabilitation Centre,Clinic,Konongo,Government,6.795290,-1.088710
Ashanti,Atwima-Nwabiagya,Nyama Maternity Home,Maternity Home,Achiase,Private,7.000000,-2.000000
Ashanti,Amansie West,Nyame Akwan Maternity,Maternity Home,Mpatoum,Private,6.540960,-1.932290
Ashanti,Atwima-Mponua,Nyinahin Government Hospital,District Hospital,Nyinahin,Government,6.601150,-2.109990
Ashanti,Asante-Akim South,Obogu Health Centre,Health Centre,Obogu,Government,6.514840,-1.115860
Ashanti,Adansi South,Obonsu Clinic,Clinic,Obonsu,Government,5.953240,-1.352250
Ashanti,Obuasi Municipal,Obuasi Government Hospital,Hospital,Obuasi,Government,6.121300,-1.410500
Ashanti,Amansie West,Odaho RCH,RCH,Odaho,Government,6.273810,-1.968320
Ashanti,Offinso Municipal,Offinso Health Centre,Health Centre,Offinso,Government,6.937820,-1.675040
Ashanti,Asante-Akim South,Ofoase Health Centre,Health Centre,Ofoase,Government,6.378130,-1.267460
Ashanti,Sekyere East,Okaikrom Health Centre,Health Centre,Okaikrom,Government,6.826120,-1.308660
Ashanti,Sekyere Central,"Catholic Clinic, Oku",Clinic,Oku,CHAG,7.347960,-1.003180
Ashanti,Afigya-Kwabre,Owusua Maternity Home,Maternity Home,Bronkong,Private,6.774740,-1.639060
Ashanti,Sekyere Afram Plains,Oyoko Our Lady Maternity Home,Maternity Home,Oyoko,Private,6.865210,-1.389760
Ashanti,Ejisu-Juaben Municipal,Paradyse Clinic,Clinic,Ejisu,Private,6.721050,-1.472620
Ashanti,Sekyere Afram Plains,Peace and Comfort Maternity Clinic,Maternity Home,Kumawu Bodomasi,Private,6.894280,-1.255220
Ashanti,Atwima-Nwabiagya,Peace Homeo Medical Centre,Clinic,Ntensere,Private,7.000000,-2.000000
Ashanti,Ejisu-Juaben Municipal,Peminase Maternity Home,Maternity Home,Peminase,Government,6.526680,-1.310860
Ashanti,Ahafo-Ano South,Pokukrom Health Centre,Health Centre,Pokukrom,Government,7.003780,-1.952390
Ashanti,Asante-Akim North Municipal,Praaso Health Centre,Health Centre,Praaso,Government,6.515560,-1.266720
Ashanti,Offinso Municipal,Quality Care Clinic,Clinic,Offinso Adikuro,Private,6.950190,-1.672630
Ashanti,Ejisu-Juaben Municipal,Queen Victoria Maternity Home and Clinic,Maternity Home,Serwaa Akura,Private,6.723450,-1.478690
Ashanti,Obuasi Municipal,Redemption Bible Way Clinic and Laboratory,Clinic,Rams Hill,Private,6.201210,-1.663930
Ashanti,Amansie West,Resolute Amansie,Clinic,Manso Nkran,Quasi-Government,6.345710,-1.989790
Ashanti,Ejisu-Juaben Municipal,Rev. Walker Medical Centre,Clinic,Kokobra,Private,6.713940,-1.521920
Ashanti,Asante-Akim South,Rose Maternity Home,Maternity Home,Obogu,Private,6.520250,-1.120420
